"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Limeira (SP)","SP","59","158.218","37,3"
"Palmitos (SC)","SC","3","8.045","37,3"
"Vigia (PA)","PA","10","26.821","37,3"
"Vila Bela da Santíssima Trindade (MT)","MT","3","8.049","37,3"
"Manari (PE)","PE","4","10.732","37,3"
"Nepomuceno (MG)","MG","5","13.427","37,2"
"Agricolândia (PI)","PI","1","2.686","37,2"
"Parazinho (RN)","RN","1","2.688","37,2"
"Trindade (GO)","GO","25","67.231","37,2"
"São José do Divino (PI)","PI","1","2.691","37,2"
"Carnaubais (RN)","RN","2","5.387","37,1"
"Telêmaco Borba (PR)","PR","15","40.420","37,1"
"Canto do Buriti (PI)","PI","4","10.790","37,1"
"Caxingó (PI)","PI","1","2.698","37,1"
"São Bento do Tocantins (TO)","TO","1","2.702","37,0"
"Ibicuí (BA)","BA","3","8.113","37,0"
"São Felipe (BA)","BA","4","10.821","37,0"
"Dom Silvério (MG)","MG","1","2.706","37,0"
"Itatiaia (RJ)","RJ","6","16.252","36,9"
"Vila Boa (GO)","GO","1","2.709","36,9"
"Inácio Martins (PR)","PR","2","5.418","36,9"
"Iguatu (CE)","CE","20","54.209","36,9"
"Divisópolis (MG)","MG","2","5.422","36,9"
"Agronômica (SC)","SC","1","2.713","36,9"
"Bela Cruz (CE)","CE","6","16.295","36,8"
"Santana do Acaraú (CE)","CE","6","16.299","36,8"
"Touros (RN)","RN","6","16.314","36,8"
"Chapada dos Guimarães (MT)","MT","4","10.877","36,8"
"Tapera (RS)","RS","2","5.441","36,8"
"Embu-Guaçu (SP)","SP","13","35.391","36,7"
"Sidrolândia (MS)","MS","11","29.967","36,7"
"Gilbués (PI)","PI","2","5.450","36,7"
"Mesquita (MG)","MG","1","2.728","36,7"
"Santa Margarida (MG)","MG","3","8.187","36,6"
"Planalto (BA)","BA","5","13.648","36,6"
"São Gonçalo do Amarante (CE)","CE","9","24.570","36,6"
"Goianinha (RN)","RN","5","13.660","36,6"
"Santa Quitéria (CE)","CE","8","21.878","36,6"
"Sítio Novo (RN)","RN","1","2.735","36,6"
"Tapurah (MT)","MT","2","5.475","36,5"
"Barra do Chapéu (SP)","SP","1","2.738","36,5"
"Alto Parnaíba (MA)","MA","2","5.483","36,5"
"General Carneiro (MT)","MT","1","2.742","36,5"
"Bento Fernandes (RN)","RN","1","2.743","36,5"
"Itatira (CE)","CE","4","10.973","36,5"
"Nossa Senhora das Dores (SE)","SE","5","13.723","36,4"
"Campo Maior (PI)","PI","9","24.713","36,4"
"Boa Viagem (CE)","CE","10","27.465","36,4"
"Várzea (RN)","RN","1","2.747","36,4"
"Reginópolis (SP)","SP","1","2.748","36,4"
"Pedra Branca (CE)","CE","8","22.007","36,4"
"Ubatã (BA)","BA","5","13.761","36,3"
"Pedregulho (SP)","SP","3","8.267","36,3"
"Santo Antônio do Leste (MT)","MT","1","2.756","36,3"
"Francinópolis (PI)","PI","1","2.757","36,3"
"Luiziânia (SP)","SP","1","2.758","36,3"
"Ararendá (CE)","CE","2","5.520","36,2"
"Jaguariúna (SP)","SP","11","30.365","36,2"
"Júlio Borges (PI)","PI","1","2.761","36,2"
"Ubatuba (SP)","SP","17","46.944","36,2"
"Mombaça (CE)","CE","8","22.103","36,2"
"Aurelino Leal (BA)","BA","2","5.528","36,2"
"Campo Limpo Paulista (SP)","SP","16","44.259","36,2"
"Sanharó (PE)","PE","5","13.833","36,1"
"São José da Vitória (BA)","BA","1","2.767","36,1"
"Entre Folhas (MG)","MG","1","2.767","36,1"
"Peruíbe (SP)","SP","13","35.995","36,1"
"Passa Sete (RS)","RS","1","2.769","36,1"
"Campo Formoso (BA)","BA","13","36.014","36,1"
"Urubici (SC)","SC","2","5.542","36,1"
"Tianguá (CE)","CE","14","38.805","36,1"
"Traipu (AL)","AL","5","13.864","36,1"
"Uruburetama (CE)","CE","4","11.096","36,0"
"Avaí (SP)","SP","1","2.775","36,0"
"Araras (SP)","SP","25","69.457","36,0"
"Miracema (RJ)","RJ","5","13.892","36,0"
"Aquidabã (SE)","SE","4","11.114","36,0"
"Cassilândia (MS)","MS","4","11.125","36,0"
"Ariquemes (RO)","RO","20","55.652","35,9"
"Bertolínia (PI)","PI","1","2.783","35,9"
"Acreúna (GO)","GO","4","11.142","35,9"
"Campinas do Sul (RS)","RS","1","2.786","35,9"
"Piancó (PB)","PB","3","8.360","35,9"
"Cerro Corá (RN)","RN","2","5.577","35,9"
"Belém (PA)","PA","288","803.110","35,9"
"Divinolândia (SP)","SP","2","5.580","35,8"
"Euclides da Cunha (BA)","BA","11","30.747","35,8"
"Mirassol d'Oeste (MT)","MT","5","13.990","35,7"
"Lagoa de Itaenga (PE)","PE","4","11.202","35,7"
"Buritizeiro (MG)","MG","5","14.006","35,7"
"Oeiras (PI)","PI","7","19.614","35,7"
"Milagres (CE)","CE","5","14.016","35,7"
"Carira (SE)","SE","4","11.217","35,7"
"Charqueada (SP)","SP","3","8.420","35,6"
"Coaraci (BA)","BA","3","8.422","35,6"
"Vitória do Mearim (MA)","MA","6","16.862","35,6"
"Varre-Sai (RJ)","RJ","2","5.625","35,6"
"Aparecida de Goiânia (GO)","GO","109","306.642","35,5"
"Água Fria de Goiás (GO)","GO","1","2.814","35,5"
"Santo Antônio do Jacinto (MG)","MG","2","5.630","35,5"
"Pedra (PE)","PE","4","11.264","35,5"
"Santa Maria (RN)","RN","1","2.816","35,5"
"Chalé (MG)","MG","1","2.817","35,5"
"Moreilândia (PE)","PE","2","5.634","35,5"
"Barra de São Francisco (ES)","ES","8","22.545","35,5"
"São Jorge do Ivaí (PR)","PR","1","2.822","35,4"
"Pedro de Toledo (SP)","SP","2","5.649","35,4"
"Massapê (CE)","CE","7","19.779","35,4"
"Gaurama (RS)","RS","1","2.826","35,4"
"Altônia (PR)","PR","4","11.307","35,4"
"Datas (MG)","MG","1","2.828","35,4"
"Itapetinga (BA)","BA","14","39.654","35,3"
"Pirajuí (SP)","SP","4","11.356","35,2"
"Dias d'Ávila (BA)","BA","15","42.589","35,2"
"Jaramataia (AL)","AL","1","2.840","35,2"
"Goiandira (GO)","GO","1","2.841","35,2"
"Cajati (SP)","SP","5","14.208","35,2"
"Cáceres (MT)","MT","17","48.310","35,2"
"Firmino Alves (BA)","BA","1","2.842","35,2"
"Sucupira do Riachão (MA)","MA","1","2.844","35,2"
"Formiga (MG)","MG","12","34.173","35,1"
"Angelim (PE)","PE","2","5.698","35,1"
"São Carlos (SC)","SC","2","5.705","35,1"
"Caldas Novas (GO)","GO","17","48.513","35,0"
"Serra de São Bento (RN)","RN","1","2.854","35,0"
"Teofilândia (BA)","BA","4","11.419","35,0"
"Morrinhos (CE)","CE","4","11.426","35,0"
"Bandeira do Sul (MG)","MG","1","2.857","35,0"
"Ibirapitanga (BA)","BA","4","11.432","35,0"
"São João do Manhuaçu (MG)","MG","2","5.721","35,0"
"Macatuba (SP)","SP","3","8.583","35,0"
"Laranjal (PR)","PR","1","2.863","34,9"
"Jequiá da Praia (AL)","AL","2","5.731","34,9"
"São Domingos do Maranhão (MA)","MA","6","17.194","34,9"
"Belo Jardim (PE)","PE","14","40.138","34,9"
"Aguiar (PB)","PB","1","2.870","34,8"
"Bela Vista do Maranhão (MA)","MA","2","5.741","34,8"
"Sátiro Dias (BA)","BA","3","8.613","34,8"
"Alpestre (RS)","RS","1","2.872","34,8"
"Jacarezinho (PR)","PR","7","20.108","34,8"
"Guaraci (PR)","PR","1","2.874","34,8"
"Patis (MG)","MG","1","2.875","34,8"
"Sobral (CE)","CE","38","109.265","34,8"
"Wanderley (BA)","BA","2","5.752","34,8"
"Capela (AL)","AL","3","8.633","34,8"
"Goiatuba (GO)","GO","6","17.266","34,8"
"São Pedro do Iguaçu (PR)","PR","1","2.880","34,7"
"Palmeirante (TO)","TO","1","2.884","34,7"
"Caldeirão Grande do Piauí (PI)","PI","1","2.887","34,6"
"Santa Luzia (BA)","BA","2","5.775","34,6"
"Solidão (PE)","PE","1","2.890","34,6"
"Rio Grande da Serra (SP)","SP","9","26.046","34,6"
"Cerro Azul (PR)","PR","3","8.694","34,5"
"Senador Canedo (GO)","GO","21","60.877","34,5"
"Monte Alegre (RN)","RN","4","11.599","34,5"
"Nova Ubiratã (MT)","MT","2","5.800","34,5"
"Campinas do Piauí (PI)","PI","1","2.902","34,5"
"Campo do Meio (MG)","MG","2","5.808","34,4"
"Porto Esperidião (MT)","MT","2","5.810","34,4"
"Sorriso (MT)","MT","16","46.496","34,4"
"Trindade do Sul (RS)","RS","1","2.906","34,4"
"Altinho (PE)","PE","4","11.627","34,4"
"Niquelândia (GO)","GO","8","23.255","34,4"
"Itabirinha (MG)","MG","2","5.814","34,4"
"Godofredo Viana (MA)","MA","2","5.815","34,4"
"Munhoz (MG)","MG","1","2.908","34,4"
"Paranacity (PR)","PR","2","5.816","34,4"
"Vale do Sol (RS)","RS","2","5.816","34,4"
"Teodoro Sampaio (SP)","SP","4","11.635","34,4"
"Santo Antônio do Jardim (SP)","SP","1","2.910","34,4"
"Planura (MG)","MG","2","5.825","34,3"
"Taiobeiras (MG)","MG","6","17.477","34,3"
"Cristália (MG)","MG","1","2.914","34,3"
"Gouvelândia (GO)","GO","1","2.915","34,3"
"Formoso do Araguaia (TO)","TO","3","8.752","34,3"
"Alagoa Grande (PB)","PB","5","14.587","34,3"
"Montadas (PB)","PB","1","2.919","34,3"
"Corumbá (MS)","MS","19","55.485","34,2"
"Divisa Nova (MG)","MG","1","2.922","34,2"
"Santa Filomena (PI)","PI","1","2.922","34,2"
"Tufilândia (MA)","MA","1","2.923","34,2"
"João Pinheiro (MG)","MG","8","23.410","34,2"
"São Luís de Montes Belos (GO)","GO","6","17.568","34,2"
"Senador Guiomard (AC)","AC","4","11.720","34,1"
"Pedra Bela (SP)","SP","1","2.930","34,1"
"Santa Inês (MA)","MA","16","46.891","34,1"
"São Miguel dos Campos (AL)","AL","11","32.239","34,1"
"Conceição de Macabu (RJ)","RJ","4","11.735","34,1"
"Jussari (BA)","BA","1","2.936","34,1"
"Ibiara (PB)","PB","1","2.937","34,0"
"São Caetano de Odivelas (PA)","PA","3","8.820","34,0"
"Vilhena (RO)","RO","18","52.934","34,0"
"Rafael Jambeiro (BA)","BA","4","11.769","34,0"
"Jacareacanga (PA)","PA","1","2.943","34,0"
"Santa Helena (PB)","PB","1","2.943","34,0"
"Seringueiras (RO)","RO","2","5.889","34,0"
"Vereda (BA)","BA","1","2.945","34,0"
"Riachão do Jacuípe (BA)","BA","6","17.676","33,9"
"Capão Bonito (SP)","SP","8","23.591","33,9"
"São José da Boa Vista (PR)","PR","1","2.949","33,9"
"Igarapé Grande (MA)","MA","2","5.906","33,9"
"Palmeiras de Goiás (GO)","GO","5","14.773","33,8"
"Picada Café (RS)","RS","1","2.955","33,8"
"Jandaia (GO)","GO","1","2.956","33,8"
"Jacinto (MG)","MG","2","5.913","33,8"
"Douradina (MS)","MS","1","2.957","33,8"
"Joaquim Gomes (AL)","AL","4","11.837","33,8"
"Morro do Chapéu (BA)","BA","6","17.762","33,8"
"Tucunduva (RS)","RS","1","2.961","33,8"
"Colares (PA)","PA","2","5.925","33,8"
"Caucaia (CE)","CE","64","189.729","33,7"
"Itamaraju (BA)","BA","11","32.614","33,7"
"Simão Dias (SE)","SE","7","20.768","33,7"
"Guaraciaba do Norte (CE)","CE","7","20.774","33,7"
"Rodeio Bonito (RS)","RS","1","2.968","33,7"
"Inhambupe (BA)","BA","7","20.783","33,7"
"Querência (MT)","MT","3","8.910","33,7"
"Rio das Pedras (SP)","SP","6","17.836","33,6"
"Cesário Lange (SP)","SP","3","8.924","33,6"
"Conceição da Feira (BA)","BA","4","11.907","33,6"
"Campina do Monte Alegre (SP)","SP","1","2.977","33,6"
"Betânia do Piauí (PI)","PI","1","2.979","33,6"
"Caibi (SC)","SC","1","2.982","33,5"
"Ibipeba (BA)","BA","3","8.971","33,4"
"Santana do Paraíso (MG)","MG","6","17.955","33,4"
"Santa Terezinha (PE)","PE","2","5.986","33,4"
"São Sebastião de Lagoa de Roça (PB)","PB","2","5.993","33,4"
"Luís Eduardo Magalhães (BA)","BA","15","44.956","33,4"
"Progresso (RS)","RS","1","2.998","33,4"
"Piacatu (SP)","SP","1","2.999","33,3"
"Taquarivaí (SP)","SP","1","2.999","33,3"
"São Gotardo (MG)","MG","6","17.999","33,3"
"Nova Ibiá (BA)","BA","1","3.001","33,3"
"Apiaí (SP)","SP","4","12.018","33,3"
"Patos (PB)","PB","19","57.158","33,2"
"Cláudia (MT)","MT","2","6.020","33,2"
"Girau do Ponciano (AL)","AL","7","21.072","33,2"
"Monte Sião (MG)","MG","4","12.051","33,2"
"Sousa (PB)","PB","12","36.157","33,2"
"Campo Grande do Piauí (PI)","PI","1","3.015","33,2"
"Caldas Brandão (PB)","PB","1","3.016","33,2"
"Luisburgo (MG)","MG","1","3.024","33,1"
"Lagoa da Canoa (AL)","AL","3","9.073","33,1"
"Padre Carvalho (MG)","MG","1","3.026","33,0"
"Felipe Guerra (RN)","RN","1","3.026","33,0"
"Doutor Camargo (PR)","PR","1","3.028","33,0"
"São João do Manteninha (MG)","MG","1","3.033","33,0"
"Cerrito (RS)","RS","1","3.035","32,9"
"Acopiara (CE)","CE","9","27.317","32,9"
"Belém (PB)","PB","3","9.120","32,9"
"Colorado (PR)","PR","4","12.179","32,8"
"Bela Vista do Toldo (SC)","SC","1","3.045","32,8"
"Poço Verde (SE)","SE","4","12.191","32,8"
"Propriá (SE)","SE","5","15.252","32,8"
"Cristinápolis (SE)","SE","3","9.166","32,7"
"Dom Pedro (MA)","MA","4","12.223","32,7"
"São Francisco do Maranhão (MA)","MA","2","6.119","32,7"
"Amontada (CE)","CE","7","21.447","32,6"
"Colinas do Tocantins (TO)","TO","6","18.391","32,6"
"Guabiruba (SC)","SC","4","12.261","32,6"
"Santo Antônio (RN)","RN","4","12.264","32,6"
"Lindolfo Collor (RS)","RS","1","3.066","32,6"
"Itabaianinha (SE)","SE","7","21.486","32,6"
"Reriutaba (CE)","CE","3","9.210","32,6"
"Itapejara d'Oeste (PR)","PR","2","6.146","32,5"
"Soledade de Minas (MG)","MG","1","3.076","32,5"
"Oliveira (MG)","MG","7","21.534","32,5"
"Cascavel (CE)","CE","12","36.923","32,5"
"Nova Era (MG)","MG","3","9.231","32,5"
"Araçuaí (MG)","MG","6","18.488","32,5"
"São João da Fronteira (PI)","PI","1","3.085","32,4"
"Pinheiro Machado (RS)","RS","2","6.172","32,4"
"Cocal dos Alves (PI)","PI","1","3.087","32,4"
"Bela Vista (MS)","MS","4","12.353","32,4"
"Marituba (PA)","PA","22","68.026","32,3"
"Ananindeua (PA)","PA","92","284.629","32,3"
"Banabuiú (CE)","CE","3","9.283","32,3"
"Areia Branca (SE)","SE","3","9.287","32,3"
"Santana do Ipanema (AL)","AL","8","24.779","32,3"
"Ubaporanga (MG)","MG","2","6.195","32,3"
"Ilicínea (MG)","MG","2","6.198","32,3"
"Artur Nogueira (SP)","SP","9","27.945","32,2"
"Pio IX (PI)","PI","3","9.317","32,2"
"Presidente Juscelino (MA)","MA","2","6.215","32,2"
"Santa Izabel do Pará (PA)","PA","11","34.196","32,2"
"Ribas do Rio Pardo (MS)","MS","4","12.445","32,1"
"Santo Amaro das Brotas (SE)","SE","2","6.229","32,1"
"Itápolis (SP)","SP","7","21.803","32,1"
"Gonzaga (MG)","MG","1","3.118","32,1"
"Caracol (MS)","MS","1","3.118","32,1"
"Piçarra (PA)","PA","2","6.237","32,1"
"Mairi (BA)","BA","3","9.362","32,0"
"Catuji (MG)","MG","1","3.122","32,0"
"Baturité (CE)","CE","6","18.734","32,0"
"Sete Barras (SP)","SP","2","6.250","32,0"
"Cariré (CE)","CE","3","9.376","32,0"
"Ferreiros (PE)","PE","2","6.252","32,0"
"Salto do Jacuí (RS)","RS","2","6.253","32,0"
"Louveira (SP)","SP","8","25.013","32,0"
"Bom Jesus do Amparo (MG)","MG","1","3.128","32,0"
"Santa Rita do Sapucaí (MG)","MG","7","21.900","32,0"
"Setubinha (MG)","MG","2","6.259","32,0"
"Caiapônia (GO)","GO","3","9.392","31,9"
"Brasnorte (MT)","MT","3","9.395","31,9"
"Bom Conselho (PE)","PE","8","25.065","31,9"
"Jaguaripe (BA)","BA","3","9.400","31,9"
"Malhador (SE)","SE","2","6.267","31,9"
"Ervália (MG)","MG","3","9.412","31,9"
"Piracema (MG)","MG","1","3.145","31,8"
"Nova Mamoré (RO)","RO","5","15.748","31,8"
"Epitaciolândia (AC)","AC","3","9.456","31,7"
"Baixio (CE)","CE","1","3.152","31,7"
"Ceará-Mirim (RN)","RN","12","37.871","31,7"
"Nova Cruz (RN)","RN","6","18.937","31,7"
"Goiatins (TO)","TO","2","6.313","31,7"
"Petrolândia (PE)","PE","6","18.949","31,7"
"Ibaiti (PR)","PR","5","15.791","31,7"
"Pedro Avelino (RN)","RN","1","3.159","31,7"
"Santa Maria do Herval (RS)","RS","1","3.162","31,6"
"Nerópolis (GO)","GO","5","15.811","31,6"
"Cacaulândia (RO)","RO","1","3.163","31,6"
"São João das Missões (MG)","MG","2","6.327","31,6"
"Pentecoste (CE)","CE","6","18.991","31,6"
"Tiros (MG)","MG","1","3.170","31,5"
"Imbuia (SC)","SC","1","3.170","31,5"
"Pocinhos (PB)","PB","3","9.514","31,5"
"Itaipé (MG)","MG","2","6.345","31,5"
"Sangão (SC)","SC","2","6.349","31,5"
"Catu (BA)","BA","9","28.611","31,5"
"Santa Helena de Minas (MG)","MG","1","3.179","31,5"
"Bom Jesus (PI)","PI","4","12.726","31,4"
"Patos do Piauí (PI)","PI","1","3.185","31,4"
"Vargem Alegre (MG)","MG","1","3.187","31,4"
"Ribeirópolis (SE)","SE","3","9.565","31,4"
"Eldorado (MS)","MS","2","6.380","31,3"
"Dois Irmãos do Tocantins (TO)","TO","1","3.190","31,3"
"São Pedro da Água Branca (MA)","MA","2","6.381","31,3"
"Porto (PI)","PI","2","6.392","31,3"
"Santa Cruz do Piauí (PI)","PI","1","3.200","31,3"
"Anastácio (MS)","MS","4","12.806","31,2"
"Floresta do Araguaia (PA)","PA","3","9.614","31,2"
"Novo Gama (GO)","GO","19","60.905","31,2"
"Lago da Pedra (MA)","MA","8","25.657","31,2"
"Plácido de Castro (AC)","AC","3","9.627","31,2"
"Cristais (MG)","MG","2","6.425","31,1"
"Antas (BA)","BA","3","9.641","31,1"
"Macaíba (RN)","RN","13","41.854","31,1"
"Vitorino Freire (MA)","MA","5","16.104","31,0"
"Boqueirão do Piauí (PI)","PI","1","3.225","31,0"
"Balneário Rincão (SC)","SC","2","6.457","31,0"
"Selvíria (MS)","MS","1","3.230","31,0"
"Luzilândia (PI)","PI","4","12.920","31,0"
"Nossa Senhora de Lourdes (SE)","SE","1","3.230","31,0"
"Tacaratu (PE)","PE","4","12.935","30,9"
"Luiz Alves (SC)","SC","2","6.470","30,9"
"Ubaíra (BA)","BA","3","9.706","30,9"
"Novo Lino (AL)","AL","2","6.473","30,9"
"Queluz (SP)","SP","2","6.474","30,9"
"Campo Alegre (AL)","AL","9","29.139","30,9"
"Serra Talhada (PE)","PE","14","45.373","30,9"
"São João da Serra (PI)","PI","1","3.243","30,8"
"Nova Palma (RS)","RS","1","3.243","30,8"
"Itirapuã (SP)","SP","1","3.252","30,8"
"Espírito Santo do Pinhal (SP)","SP","7","22.790","30,7"
"Jacobina (BA)","BA","13","42.339","30,7"
"Itapuranga (GO)","GO","4","13.044","30,7"
"Sardoá (MG)","MG","1","3.261","30,7"
"Tacaimbó (PE)","PE","2","6.523","30,7"
"Massapê do Piauí (PI)","PI","1","3.265","30,6"
"Banzaê (BA)","BA","2","6.544","30,6"
"Piranhas (AL)","AL","4","13.091","30,6"
"Pires do Rio (GO)","GO","5","16.378","30,5"
"Olho d'Água (PB)","PB","1","3.277","30,5"
"Roteiro (AL)","AL","1","3.284","30,5"
"Cambará (PR)","PR","4","13.138","30,4"
"Santa Bárbara de Goiás (GO)","GO","1","3.286","30,4"
"Marilândia (ES)","ES","2","6.575","30,4"
"Barão de Cotegipe (RS)","RS","1","3.299","30,3"
"Rio Grande do Piauí (PI)","PI","1","3.302","30,3"
"São Luís do Curu (CE)","CE","2","6.612","30,2"
"Herval (RS)","RS","1","3.307","30,2"
"Jaicós (PI)","PI","3","9.928","30,2"
"Utinga (BA)","BA","3","9.931","30,2"
"Igaci (AL)","AL","4","13.248","30,2"
"Campo Belo do Sul (SC)","SC","1","3.312","30,2"
"Lagoa Grande (PE)","PE","4","13.250","30,2"
"Angical (BA)","BA","2","6.632","30,2"
"Turvo (SC)","SC","2","6.632","30,2"
"Canarana (BA)","BA","4","13.266","30,2"
"Xanxerê (SC)","SC","8","26.534","30,1"
"Itaguara (MG)","MG","2","6.634","30,1"
"Riachão do Dantas (SE)","SE","3","9.952","30,1"
"Pontes e Lacerda (MT)","MT","7","23.227","30,1"
"Roque Gonzales (RS)","RS","1","3.319","30,1"
"Icapuí (CE)","CE","3","9.961","30,1"
"Mutum (MG)","MG","4","13.282","30,1"
"Pedro II (PI)","PI","6","19.931","30,1"
"Mallet (PR)","PR","2","6.645","30,1"
"Mariópolis (PR)","PR","1","3.323","30,1"
"Jacutinga (MG)","MG","4","13.296","30,1"
"Cristalina (GO)","GO","9","29.940","30,1"
"Santo Antônio de Goiás (GO)","GO","1","3.328","30,0"
"Rosário do Sul (RS)","RS","6","20.005","30,0"
"Camapuã (MS)","MS","2","6.671","30,0"
"Santarém (PA)","PA","47","156.881","30,0"
"Pacatuba (CE)","CE","13","43.393","30,0"
"Pacujá (CE)","CE","1","3.339","29,9"
"Ijaci (MG)","MG","1","3.339","29,9"
"Ivaí (PR)","PR","2","6.686","29,9"
"Chapada Gaúcha (MG)","MG","2","6.689","29,9"
"Belo Monte (AL)","AL","1","3.348","29,9"
"Guaporé (RS)","RS","4","13.395","29,9"
"Careaçu (MG)","MG","1","3.349","29,9"
"Buíque (PE)","PE","9","30.198","29,8"
"Campestre (MG)","MG","3","10.068","29,8"
"Milton Brandão (PI)","PI","1","3.362","29,7"
"Machacalis (MG)","MG","1","3.363","29,7"
"Jandaíra (RN)","RN","1","3.363","29,7"
"São Sebastião do Anta (MG)","MG","1","3.364","29,7"
"Sento Sé (BA)","BA","6","20.211","29,7"
"Rio Verde de Mato Grosso (MS)","MS","3","10.106","29,7"
"Madalena (CE)","CE","3","10.108","29,7"
"Dona Eusébia (MG)","MG","1","3.376","29,6"
"Salto da Divisa (MG)","MG","1","3.383","29,6"
"Salinópolis (PA)","PA","6","20.330","29,5"
"Japoatã (SE)","SE","2","6.777","29,5"
"Dores do Rio Preto (ES)","ES","1","3.390","29,5"
"Humaitá (AM)","AM","8","27.129","29,5"
"Choró (CE)","CE","2","6.785","29,5"
"Araguacema (TO)","TO","1","3.393","29,5"
"Santa Rosa do Purus (AC)","AC","1","3.394","29,5"
"Porto Real do Colégio (AL)","AL","3","10.187","29,4"
"Crisólita (MG)","MG","1","3.396","29,4"
"Maracás (BA)","BA","3","10.201","29,4"
"Paripueira (AL)","AL","2","6.802","29,4"
"Castelo do Piauí (PI)","PI","3","10.203","29,4"
"Colíder (MT)","MT","5","17.019","29,4"
"Imbé de Minas (MG)","MG","1","3.405","29,4"
"Gurupi (TO)","TO","13","44.267","29,4"
"Mandirituba (PR)","PR","4","13.624","29,4"
"Itororó (BA)","BA","3","10.229","29,3"
"Iaciara (GO)","GO","2","6.824","29,3"
"Barra do Bugres (MT)","MT","5","17.072","29,3"
"Caldeirão Grande (BA)","BA","2","6.836","29,3"
"Santa Gertrudes (SP)","SP","4","13.681","29,2"
"Maturéia (PB)","PB","1","3.422","29,2"
"Maribondo (AL)","AL","2","6.846","29,2"
"Major Isidoro (AL)","AL","3","10.275","29,2"
"Palmácia (CE)","CE","2","6.861","29,2"
"Faxinal do Soturno (RS)","RS","1","3.431","29,1"
"Morro do Chapéu do Piauí (PI)","PI","1","3.434","29,1"
"Marizópolis (PB)","PB","1","3.441","29,1"
"Juara (MT)","MT","5","17.220","29,0"
"Viçosa (MG)","MG","12","41.345","29,0"
"Lagoa d'Anta (RN)","RN","1","3.448","29,0"
"Santa Rita de Cássia (BA)","BA","4","13.795","29,0"
"Alfredo Vasconcelos (MG)","MG","1","3.449","29,0"
"Itaguaçu da Bahia (BA)","BA","2","6.906","29,0"
"Miranda (MS)","MS","4","13.819","28,9"
"Baixa Grande (BA)","BA","3","10.368","28,9"
"Senhor do Bonfim (BA)","BA","12","41.493","28,9"
"Peixoto de Azevedo (MT)","MT","5","17.309","28,9"
"Remígio (PB)","PB","3","10.400","28,8"
"Varjão de Minas (MG)","MG","1","3.468","28,8"
"Chuí (RS)","RS","1","3.474","28,8"
"Jaborandi (SP)","SP","1","3.474","28,8"
"Cocal (PI)","PI","4","13.902","28,8"
"Itarema (CE)","CE","6","20.866","28,8"
"Estrela (RS)","RS","5","17.390","28,8"
"Medina (MG)","MG","3","10.444","28,7"
"Acauã (PI)","PI","1","3.482","28,7"
"Uruoca (CE)","CE","2","6.971","28,7"
"São Francisco (MG)","MG","8","27.899","28,7"
"Santa Luzia do Itanhy (SE)","SE","2","6.979","28,7"
"Comodoro (MT)","MT","3","10.469","28,7"
"Santo Antônio do Monte (MG)","MG","4","13.970","28,6"
"Formosa (GO)","GO","18","62.909","28,6"
"Conquista (MG)","MG","1","3.495","28,6"
"Itarumã (GO)","GO","1","3.496","28,6"
"São Tomás de Aquino (MG)","MG","1","3.497","28,6"
"Cunha (SP)","SP","3","10.514","28,5"
"Itagimirim (BA)","BA","1","3.507","28,5"
"Campestre (AL)","AL","1","3.511","28,5"
"Pinhalzinho (SC)","SC","3","10.536","28,5"
"Caririaçu (CE)","CE","4","14.054","28,5"
"Pinhão (SE)","SE","1","3.516","28,4"
"Araruna (PB)","PB","3","10.562","28,4"
"Horizonte (CE)","CE","10","35.240","28,4"
"Ajuricaba (RS)","RS","1","3.525","28,4"
"Jaguaquara (BA)","BA","8","28.207","28,4"
"Castanhal (PA)","PA","30","105.898","28,3"
"Água Doce (SC)","SC","1","3.533","28,3"
"Coribe (BA)","BA","2","7.068","28,3"
"Santo Estêvão (BA)","BA","8","28.274","28,3"
"Quatá (SP)","SP","2","7.071","28,3"
"Araguari (MG)","MG","17","60.134","28,3"
"Santo Augusto (RS)","RS","2","7.076","28,3"
"Bezerros (PE)","PE","9","31.885","28,2"
"Camanducaia (MG)","MG","3","10.644","28,2"
"Joaquim Pires (PI)","PI","2","7.097","28,2"
"Pindoretama (CE)","CE","3","10.664","28,1"
"Ribeirão Pires (SP)","SP","18","64.061","28,1"
"Presidente Dutra (MA)","MA","7","24.923","28,1"
"Paulo Frontin (PR)","PR","1","3.561","28,1"
"Nova Aliança (SP)","SP","1","3.570","28,0"
"Itacajá (TO)","TO","1","3.570","28,0"
"Caiçara (PB)","PB","1","3.571","28,0"
"Amapá do Maranhão (MA)","MA","1","3.573","28,0"
"Tangará da Serra (MT)","MT","15","53.621","28,0"
"Açailândia (MA)","MA","16","57.222","28,0"
"Jaguariaíva (PR)","PR","5","17.908","27,9"
"Santana dos Garrotes (PB)","PB","1","3.582","27,9"
"Jaguaribe (CE)","CE","5","17.939","27,9"
"Santa Cruz Cabrália (BA)","BA","4","14.356","27,9"
"Macambira (SE)","SE","1","3.591","27,8"
"Pio XII (MA)","MA","3","10.775","27,8"
"Guaraqueçaba (PR)","PR","1","3.598","27,8"
"Jussara (PR)","PR","1","3.598","27,8"
"Frecheirinha (CE)","CE","2","7.202","27,8"
"Demerval Lobão (PI)","PI","2","7.206","27,8"
"Guapó (GO)","GO","2","7.210","27,7"
"Murici (AL)","AL","4","14.435","27,7"
