"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"São João da Barra (RJ)","RJ","39","18.334","212,7"
"Nova Esperança do Sul (RS)","RS","6","2.828","212,2"
"Lagoa (PB)","PB","5","2.359","212,0"
"Varjão (GO)","GO","4","1.893","211,3"
"Esperança do Sul (RS)","RS","3","1.421","211,1"
"São Thomé das Letras (MG)","MG","7","3.327","210,4"
"Califórnia (PR)","PR","9","4.287","209,9"
"Muliterno (RS)","RS","2","953","209,9"
"Pombos (PE)","PE","29","13.836","209,6"
"Barracão (PR)","PR","11","5.253","209,4"
"Itarana (ES)","ES","11","5.260","209,1"
"Renascença (PR)","PR","7","3.351","208,9"
"Quixaba (PB)","PB","2","959","208,6"
"Sulina (PR)","PR","3","1.445","207,6"
"Santo Antônio do Itambé (MG)","MG","4","1.931","207,1"
"Serranos (MG)","MG","2","967","206,8"
"Santa Rita de Caldas (MG)","MG","9","4.357","206,6"
"Campanário (MG)","MG","4","1.947","205,4"
"Moreno (PE)","PE","67","32.912","203,6"
"Areias (SP)","SP","4","1.974","202,6"
"Rio Novo (MG)","MG","9","4.475","201,1"
"Janiópolis (PR)","PR","5","2.503","199,8"
"Neves Paulista (SP)","SP","9","4.514","199,4"
"Itapé (BA)","BA","8","4.014","199,3"
"Rio Bom (PR)","PR","3","1.512","198,4"
"Barra Longa (MG)","MG","5","2.525","198,0"
"Cabo de Santo Agostinho (PE)","PE","212","107.124","197,9"
"Floresta (PR)","PR","7","3.539","197,8"
"Echaporã (SP)","SP","6","3.045","197,0"
"Triunfo Potiguar (RN)","RN","3","1.525","196,7"
"Pranchita (PR)","PR","5","2.555","195,7"
"Pilar de Goiás (GO)","GO","2","1.025","195,1"
"Monte das Gameleiras (RN)","RN","2","1.025","195,1"
"Imbé (RS)","RS","24","12.406","193,5"
"Ouro (SC)","SC","7","3.620","193,4"
"Eugenópolis (MG)","MG","11","5.692","193,3"
"Itá (SC)","SC","6","3.118","192,4"
"Novo Tiradentes (RS)","RS","2","1.045","191,4"
"Cruzália (SP)","SP","2","1.045","191,4"
"Aparecida d'Oeste (SP)","SP","4","2.092","191,2"
"Bodó (RN)","RN","2","1.048","190,8"
"Ernestina (RS)","RS","3","1.576","190,4"
"Quatro Pontes (PR)","PR","4","2.103","190,2"
"Grão Pará (SC)","SC","6","3.163","189,7"
"Nova Itaberaba (SC)","SC","4","2.113","189,3"
"Caranaíba (MG)","MG","3","1.586","189,2"
"Atalanta (SC)","SC","3","1.593","188,3"
"Timbé do Sul (SC)","SC","5","2.655","188,3"
"Guarani d'Oeste (SP)","SP","2","1.062","188,3"
"Condado (PE)","PE","26","13.849","187,7"
"Nantes (SP)","SP","3","1.598","187,7"
"Pedrinhas Paulista (SP)","SP","3","1.598","187,7"
"Campina das Missões (RS)","RS","5","2.667","187,5"
"Vargem Bonita (SC)","SC","4","2.139","187,0"
"Novo Machado (RS)","RS","3","1.609","186,5"
"São João Batista do Glória (MG)","MG","7","3.762","186,1"
"Vazante (MG)","MG","19","10.270","185,0"
"Ivolândia (GO)","GO","2","1.082","184,8"
"Santa Rita de Ibitipoca (MG)","MG","3","1.623","184,8"
"Barão de Monte Alto (MG)","MG","5","2.706","184,8"
"São Francisco de Paula (MG)","MG","6","3.256","184,3"
"Pardinho (SP)","SP","6","3.262","183,9"
"Glória do Goitá (PE)","PE","29","15.798","183,6"
"Fátima do Sul (MS)","MS","18","9.820","183,3"
"Paraíso do Norte (PR)","PR","13","7.097","183,2"
"Casa Grande (MG)","MG","2","1.092","183,2"
"Santo Expedito do Sul (RS)","RS","2","1.092","183,2"
"Pilões (PB)","PB","6","3.277","183,1"
"Indianópolis (PR)","PR","4","2.190","182,6"
"São Gonçalo do Rio Preto (MG)","MG","3","1.643","182,6"
"Couto de Magalhães de Minas (MG)","MG","4","2.195","182,2"
"Arapoema (TO)","TO","6","3.293","182,2"
"Mendonça (SP)","SP","5","2.745","182,1"
"Pitangueiras (PR)","PR","3","1.648","182,0"
"Maria Helena (PR)","PR","5","2.747","182,0"
"Canaã (MG)","MG","4","2.201","181,7"
"Passo do Sobrado (RS)","RS","6","3.304","181,6"
"Iracema do Oeste (PR)","PR","2","1.107","180,7"
"Caiuá (SP)","SP","5","2.769","180,6"
"Iguatu (PR)","PR","2","1.109","180,3"
"Tapes (RS)","RS","16","8.873","180,3"
"Martinho Campos (MG)","MG","12","6.665","180,0"
"Bela Vista da Caroba (PR)","PR","3","1.667","180,0"
"Santa Cruz da Esperança (SP)","SP","2","1.112","179,9"
"Coronel Macedo (SP)","SP","4","2.230","179,4"
"Lamim (MG)","MG","3","1.673","179,3"
"Cedro do Abaeté (MG)","MG","1","558","179,2"
"Charqueadas (RS)","RS","33","18.440","179,0"
"Porto Lucena (RS)","RS","4","2.236","178,9"
"Erval Velho (SC)","SC","4","2.237","178,8"
"Dois Lajeados (RS)","RS","3","1.678","178,8"
"Brasilândia do Tocantins (TO)","TO","2","1.119","178,7"
"Juti (MS)","MS","6","3.359","178,6"
"Taiúva (SP)","SP","5","2.813","177,7"
"Montividiu do Norte (GO)","GO","4","2.253","177,5"
"Mercedes (PR)","PR","5","2.819","177,4"
"Xangri-lá (RS)","RS","15","8.476","177,0"
"São Sebastião do Rio Verde (MG)","MG","2","1.136","176,1"
"Balneário Arroio do Silva (SC)","SC","12","6.817","176,0"
"Barretos (SP)","SP","112","63.780","175,6"
"Forquetinha (RS)","RS","2","1.148","174,2"
"Platina (SP)","SP","3","1.725","173,9"
"Aiuruoca (MG)","MG","5","2.876","173,9"
"Mariluz (PR)","PR","9","5.177","173,8"
"Palmeira d'Oeste (SP)","SP","8","4.603","173,8"
"Caxambu do Sul (SC)","SC","3","1.732","173,2"
"Nova Guataporanga (SP)","SP","2","1.158","172,7"
"Travesseiro (RS)","RS","2","1.163","172,0"
"Luzerna (SC)","SC","5","2.915","171,5"
"Santo Antônio do Aventureiro (MG)","MG","3","1.763","170,2"
"Arroio do Meio (RS)","RS","18","10.594","169,9"
"Lajes Pintadas (RN)","RN","4","2.357","169,7"
"Minas do Leão (RS)","RS","7","4.131","169,5"
"Gurjão (PB)","PB","3","1.771","169,4"
"Capoeiras (PE)","PE","17","10.037","169,4"
"Itueta (MG)","MG","5","2.956","169,1"
"Arroio Trinta (SC)","SC","3","1.774","169,1"
"Maetinga (BA)","BA","2","1.184","168,9"
"Abdon Batista (SC)","SC","2","1.187","168,5"
"Palotina (PR)","PR","28","16.623","168,4"
"Ibiaçá (RS)","RS","4","2.380","168,1"
"Pedranópolis (SP)","SP","2","1.197","167,1"
"Córrego do Bom Jesus (MG)","MG","3","1.800","166,7"
"Alto Piquiri (PR)","PR","8","4.802","166,6"
"Mirassolândia (SP)","SP","4","2.401","166,6"
"Bom Sucesso (PR)","PR","6","3.602","166,6"
"Tupi Paulista (SP)","SP","11","6.609","166,4"
"Dom Pedro de Alcântara (RS)","RS","2","1.202","166,4"
"Sarutaiá (SP)","SP","3","1.804","166,3"
"Carmo do Cajuru (MG)","MG","19","11.458","165,8"
"Tabuleiro (MG)","MG","3","1.810","165,7"
"Campestre de Goiás (GO)","GO","3","1.811","165,7"
"Fama (MG)","MG","2","1.209","165,4"
"Rio Rufino (SC)","SC","2","1.211","165,2"
"Vista Alegre do Alto (SP)","SP","7","4.263","164,2"
"Triunfo (PE)","PE","13","7.921","164,1"
"São José do Sul (RS)","RS","2","1.220","163,9"
"Formosa do Sul (SC)","SC","2","1.223","163,5"
"Santana dos Montes (MG)","MG","3","1.841","163,0"
"Coronel Martins (SC)","SC","2","1.229","162,7"
"Santa Tereza do Oeste (PR)","PR","8","4.927","162,4"
"Algodão de Jandaíra (PB)","PB","2","1.239","161,4"
"Recife (PE)","PE","1.453","900.372","161,4"
"Biquinhas (MG)","MG","2","1.240","161,3"
"Pedra Dourada (MG)","MG","2","1.240","161,3"
"Araçaí (MG)","MG","2","1.245","160,6"
"Natividade da Serra (SP)","SP","5","3.113","160,6"
"Pontes Gestal (SP)","SP","2","1.246","160,5"
"Águas de Santa Bárbara (SP)","SP","5","3.116","160,5"
"Ubiratã (PR)","PR","17","10.625","160,0"
"Santa Maria da Serra (SP)","SP","5","3.131","159,7"
"Itanhaém (SP)","SP","87","54.518","159,6"
"Catuípe (RS)","RS","7","4.402","159,0"
"Paulo Lopes (SC)","SC","6","3.775","158,9"
"Glória de Dourados (MS)","MS","8","5.037","158,8"
"Além Paraíba (MG)","MG","29","18.263","158,8"
"Alagoa (MG)","MG","2","1.263","158,4"
"Terra Roxa (PR)","PR","14","8.878","157,7"
"Arandu (SP)","SP","5","3.173","157,6"
"Barra Funda (RS)","RS","2","1.270","157,5"
"Águas de Chapecó (SC)","SC","5","3.175","157,5"
"Icaraíma (PR)","PR","6","3.832","156,6"
"Barracão (RS)","RS","4","2.555","156,6"
"Ibema (PR)","PR","5","3.200","156,3"
"Coronel Barros (RS)","RS","2","1.280","156,3"
"Cerqueira César (SP)","SP","16","10.253","156,1"
"Taboleiro Grande (RN)","RN","2","1.283","155,9"
"Santa Cruz de Monte Castelo (PR)","PR","6","3.850","155,8"
"Águas de Lindóia (SP)","SP","15","9.650","155,4"
"Inimutaba (MG)","MG","6","3.861","155,4"
"Piratininga (SP)","SP","11","7.080","155,4"
"Santa Lúcia (PR)","PR","3","1.931","155,4"
"Tarumirim (MG)","MG","11","7.092","155,1"
